text,intent,sentiment,country,product_group,plan,customer_type,priority,amount_billed,satisfaction_score
I want a refund for ZENDStorage 10TB subscription.,Refund,Angry,USA,Cloud & Data Center Services,ZENDStorage 10TB,Enterprise,Enterprise,157.42,1
Requesting refund for ZENDOffice Net 500.,Refund,Angry,Thailand,Home & Office Internet,ZENDOffice Net 500,Enterprise,Standard,95.72,1
How do I stop ZENDOffice Net 200 service?,Cancellation,Neutral,Singapore,Home & Office Internet,ZENDOffice Net 200,Individual,Enterprise,24.08,3
What features does ZENDSmart Traffic offer?,Information Query,Neutral,India,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Standard,113.61,3
Frustrated with ZENDBiz Connect 100 connection.,Complaint,Neutral,Singapore,Business Connectivity,ZENDBiz Connect 100,Enterprise,Priority,64.09,3
What are the costs to move from Prepaid Unlimited to premium?,Plan Upgrade,Angry,Singapore,Mobile Connectivity,Prepaid Unlimited,Enterprise,Priority,142.77,1
Frustrated with ZENDFiber Home 300 Mbps connection.,Complaint,Happy,Thailand,Home & Office Internet,ZENDFiber Home 300 Mbps,Enterprise,Standard,123.55,5
What features does ZENDBiz Connect 500 offer?,Information Query,Angry,USA,Business Connectivity,ZENDBiz Connect 500,Individual,Priority,487.2,1
I want to cancel my ZENDOffice Net 500 subscription.,Cancellation,Neutral,India,Home & Office Internet,ZENDOffice Net 500,Enterprise,Priority,155.7,3
I am facing issues with Postpaid Platinum Unlimited.,Technical Support,Angry,Thailand,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Enterprise,137.68,1
Frustrated with ZENDFleet IoT connection.,Complaint,Satisfied,Singapore,IoT & Smart Solutions,ZENDFleet IoT,Individual,Standard,262.38,4
Can I upgrade from ZENDBiz Connect 1G to a higher plan?,Plan Upgrade,Neutral,USA,Business Connectivity,ZENDBiz Connect 1G,Individual,Priority,272.14,3
I want a refund for ZENDEnterprise Dedicated subscription.,Refund,Neutral,India,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Priority,476.65,3
Can I upgrade from Prepaid Plus 20GB to a higher plan?,Plan Upgrade,Satisfied,Thailand,Mobile Connectivity,Prepaid Plus 20GB,Enterprise,Priority,79.49,4
My ZENDBiz Connect 500 is not working properly.,Technical Support,Satisfied,USA,Business Connectivity,ZENDBiz Connect 500,Enterprise,Enterprise,369.79,4
How much does ZENDSmart Lighting cost in my country?,Information Query,Neutral,USA,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Standard,269.47,3
What features does ZENDStorage 10TB offer?,Information Query,Satisfied,India,Cloud & Data Center Services,ZENDStorage 10TB,Individual,Enterprise,28.26,4
Can you send me my last 2 invoices for ZENDFleet IoT?,Billing,Neutral,Singapore,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Enterprise,204.99,3
Requesting refund for ZENDBiz Connect 500.,Refund,Happy,India,Business Connectivity,ZENDBiz Connect 500,Enterprise,Enterprise,420.51,5
How much does Postpaid Platinum Unlimited cost in my country?,Information Query,Neutral,Thailand,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Priority,44.2,3
What features does ZENDFleet IoT offer?,Information Query,Happy,India,IoT & Smart Solutions,ZENDFleet IoT,Individual,Enterprise,254.95,5
Requesting refund for Postpaid Gold 100GB.,Refund,Happy,USA,Mobile Connectivity,Postpaid Gold 100GB,Enterprise,Enterprise,81.74,5
Complaint regarding ZENDEnterprise Dedicated.,Complaint,Neutral,Singapore,Business Connectivity,ZENDEnterprise Dedicated,Individual,Enterprise,335.63,3
I want to cancel my ZENDSmart Lighting subscription.,Cancellation,Satisfied,Singapore,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Priority,162.1,4
I want a refund for ZENDEnterprise Ultra subscription.,Refund,Happy,USA,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Priority,371.97,5
Requesting refund for Postpaid Gold 100GB.,Refund,Neutral,India,Mobile Connectivity,Postpaid Gold 100GB,Individual,Priority,44.35,3
Complaint regarding ZENDCloud VM Pro.,Complaint,Angry,Thailand,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Priority,256.0,1
Please terminate my ZENDCloud VM Basic plan.,Cancellation,Angry,Singapore,Cloud & Data Center Services,ZENDCloud VM Basic,Enterprise,Priority,169.52,1
I am facing issues with ZENDSmart Traffic.,Technical Support,Angry,Singapore,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Priority,333.16,1
How do I stop ZENDBiz Connect 500 service?,Cancellation,Neutral,Singapore,Business Connectivity,ZENDBiz Connect 500,Enterprise,Enterprise,76.48,3
Complaint regarding ZENDFiber Home 1 Gbps.,Complaint,Happy,Thailand,Home & Office Internet,ZENDFiber Home 1 Gbps,Enterprise,Enterprise,196.1,5
Requesting refund for ZENDOffice Net 200.,Refund,Happy,Thailand,Home & Office Internet,ZENDOffice Net 200,Individual,Standard,90.08,5
I want a refund for ZENDSmart Lighting subscription.,Refund,Angry,Thailand,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Enterprise,386.88,1
I want to upgrade my ZENDBiz Connect 1G plan.,Plan Upgrade,Neutral,USA,Business Connectivity,ZENDBiz Connect 1G,Individual,Enterprise,273.46,3
What are the costs to move from ZENDStorage 10TB to premium?,Plan Upgrade,Neutral,Thailand,Cloud & Data Center Services,ZENDStorage 10TB,Enterprise,Priority,56.66,3
How do I stop ZENDIndustrial Sensor service?,Cancellation,Neutral,Singapore,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Enterprise,127.94,3
I want to upgrade my ZENDBiz Connect 100 plan.,Plan Upgrade,Happy,Thailand,Business Connectivity,ZENDBiz Connect 100,Individual,Priority,289.28,5
Complaint regarding ZENDSmart Traffic.,Complaint,Neutral,Thailand,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Enterprise,62.79,3
Need details about ZENDSmart Traffic.,Information Query,Neutral,USA,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Standard,293.48,3
Can you send me my last 2 invoices for ZENDArchive Storage?,Billing,Happy,Thailand,Cloud & Data Center Services,ZENDArchive Storage,Individual,Standard,291.32,5
Requesting refund for ZENDBiz Connect 1G.,Refund,Satisfied,Thailand,Business Connectivity,ZENDBiz Connect 1G,Individual,Standard,176.44,4
I want a refund for ZENDIndustrial Sensor subscription.,Refund,Neutral,Singapore,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Enterprise,163.69,3
Need help fixing my ZENDArchive Storage service.,Technical Support,Happy,Thailand,Cloud & Data Center Services,ZENDArchive Storage,Individual,Standard,36.45,5
Frustrated with ZENDIndustrial Sensor connection.,Complaint,Happy,USA,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Enterprise,253.1,5
I want to upgrade my ZENDSmart Parking plan.,Plan Upgrade,Satisfied,Thailand,IoT & Smart Solutions,ZENDSmart Parking,Individual,Enterprise,131.42,4
I am facing issues with Postpaid Gold 100GB.,Technical Support,Happy,Singapore,Mobile Connectivity,Postpaid Gold 100GB,Individual,Enterprise,79.11,5
I want to upgrade my ZENDSmart Traffic plan.,Plan Upgrade,Satisfied,India,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Standard,101.34,4
Complaint regarding ZENDIndustrial Sensor.,Complaint,Happy,Singapore,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Standard,119.05,5
Frustrated with ZENDEnterprise Ultra connection.,Complaint,Satisfied,Thailand,Business Connectivity,ZENDEnterprise Ultra,Individual,Enterprise,327.19,4
My billing amount for ZENDFiber Home 300 Mbps seems incorrect.,Billing,Happy,Singapore,Home & Office Internet,ZENDFiber Home 300 Mbps,Enterprise,Enterprise,175.99,5
How do I claim a refund if I used less than 10% of ZENDArchive Storage?,Refund,Satisfied,Singapore,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Standard,82.03,4
My billing amount for Postpaid Gold 100GB seems incorrect.,Billing,Angry,Thailand,Mobile Connectivity,Postpaid Gold 100GB,Individual,Priority,25.03,1
How do I stop ZENDArchive Storage service?,Cancellation,Happy,India,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Enterprise,201.53,5
Complaint regarding ZENDFiber Home 1 Gbps.,Complaint,Neutral,India,Home & Office Internet,ZENDFiber Home 1 Gbps,Enterprise,Priority,36.79,3
Need help fixing my Postpaid Platinum Unlimited service.,Technical Support,Neutral,USA,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Standard,43.07,3
I want a refund for Prepaid Plus 20GB subscription.,Refund,Neutral,USA,Mobile Connectivity,Prepaid Plus 20GB,Enterprise,Standard,35.75,3
What are the costs to move from Prepaid Unlimited to premium?,Plan Upgrade,Angry,USA,Mobile Connectivity,Prepaid Unlimited,Enterprise,Priority,51.03,1
I am facing issues with ZENDSmart Parking.,Technical Support,Angry,India,IoT & Smart Solutions,ZENDSmart Parking,Individual,Standard,163.03,1
I am not happy with my ZENDFiber Home 1 Gbps service.,Complaint,Happy,Thailand,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Standard,163.69,5
How do I claim a refund if I used less than 10% of Prepaid Plus 20GB?,Refund,Neutral,USA,Mobile Connectivity,Prepaid Plus 20GB,Enterprise,Priority,93.23,3
I want to upgrade my ZENDFleet IoT plan.,Plan Upgrade,Happy,USA,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Standard,359.18,5
What are the costs to move from Postpaid Platinum Unlimited to premium?,Plan Upgrade,Neutral,USA,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Standard,64.09,3
Requesting refund for ZENDOffice Net 500.,Refund,Neutral,Thailand,Home & Office Internet,ZENDOffice Net 500,Enterprise,Enterprise,41.87,3
How much does Postpaid Platinum Unlimited cost in my country?,Information Query,Angry,Singapore,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Priority,143.16,1
How do I claim a refund if I used less than 10% of ZENDBiz Connect 100?,Refund,Neutral,India,Business Connectivity,ZENDBiz Connect 100,Enterprise,Priority,163.36,3
My billing amount for ZENDEnterprise Dedicated seems incorrect.,Billing,Angry,USA,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Priority,385.94,1
What are the costs to move from ZENDFleet IoT to premium?,Plan Upgrade,Satisfied,India,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Priority,102.95,4
I am not happy with my ZENDFiber Home 300 Mbps service.,Complaint,Neutral,Thailand,Home & Office Internet,ZENDFiber Home 300 Mbps,Enterprise,Priority,33.29,3
Need details about ZENDOffice Net 200.,Information Query,Angry,USA,Home & Office Internet,ZENDOffice Net 200,Enterprise,Priority,29.62,1
Frustrated with ZENDCloud VM Enterprise connection.,Complaint,Angry,India,Cloud & Data Center Services,ZENDCloud VM Enterprise,Individual,Enterprise,216.5,1
I was charged $X instead of $Y for ZENDSmart Traffic.,Billing,Neutral,Singapore,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Priority,283.04,3
Frustrated with ZENDBiz Connect 500 connection.,Complaint,Angry,Thailand,Business Connectivity,ZENDBiz Connect 500,Individual,Priority,335.85,1
What are the costs to move from ZENDEnterprise Ultra to premium?,Plan Upgrade,Angry,USA,Business Connectivity,ZENDEnterprise Ultra,Individual,Enterprise,241.04,1
I am facing issues with ZENDEnterprise Dedicated.,Technical Support,Satisfied,India,Business Connectivity,ZENDEnterprise Dedicated,Individual,Priority,108.17,4
Can I upgrade from ZENDEnterprise Ultra to a higher plan?,Plan Upgrade,Neutral,USA,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Priority,398.44,3
I want a refund for ZENDEnterprise Dedicated subscription.,Refund,Neutral,India,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Priority,485.98,3
Frustrated with ZENDOffice Net 200 connection.,Complaint,Happy,India,Home & Office Internet,ZENDOffice Net 200,Individual,Enterprise,95.67,5
Frustrated with ZENDSmart Parking connection.,Complaint,Satisfied,Thailand,IoT & Smart Solutions,ZENDSmart Parking,Individual,Enterprise,127.1,4
I want to cancel my ZENDBiz Connect 500 subscription.,Cancellation,Neutral,Singapore,Business Connectivity,ZENDBiz Connect 500,Individual,Enterprise,296.7,3
Frustrated with Prepaid Basic 5GB connection.,Complaint,Angry,USA,Mobile Connectivity,Prepaid Basic 5GB,Individual,Standard,136.04,1
Need help fixing my ZENDIndustrial Sensor service.,Technical Support,Happy,India,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Standard,331.71,5
What features does ZENDEnterprise Dedicated offer?,Information Query,Angry,Singapore,Business Connectivity,ZENDEnterprise Dedicated,Individual,Enterprise,114.53,1
How do I stop ZENDCloud VM Enterprise service?,Cancellation,Angry,Thailand,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Standard,59.45,1
Can you send me my last 2 invoices for Postpaid Gold 100GB?,Billing,Angry,India,Mobile Connectivity,Postpaid Gold 100GB,Individual,Priority,110.44,1
I want to cancel my ZENDFiber Home 100 Mbps subscription.,Cancellation,Angry,Singapore,Home & Office Internet,ZENDFiber Home 100 Mbps,Enterprise,Standard,189.05,1
I want to cancel my ZENDOffice Net 500 subscription.,Cancellation,Happy,USA,Home & Office Internet,ZENDOffice Net 500,Individual,Priority,101.69,5
What are the costs to move from ZENDSmart Traffic to premium?,Plan Upgrade,Happy,Thailand,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Priority,77.33,5
I want a refund for ZENDStorage 1TB subscription.,Refund,Happy,India,Cloud & Data Center Services,ZENDStorage 1TB,Enterprise,Enterprise,259.65,5
My billing amount for ZENDSmart Traffic seems incorrect.,Billing,Neutral,Singapore,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Enterprise,79.15,3
I want a refund for ZENDFiber Home 1 Gbps subscription.,Refund,Satisfied,Singapore,Home & Office Internet,ZENDFiber Home 1 Gbps,Enterprise,Standard,54.94,4
My ZENDStorage 1TB is not working properly.,Technical Support,Neutral,Thailand,Cloud & Data Center Services,ZENDStorage 1TB,Individual,Priority,255.69,3
What are the costs to move from ZENDFiber Home 1 Gbps to premium?,Plan Upgrade,Satisfied,USA,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Standard,197.19,4
Frustrated with ZENDOffice Net 200 connection.,Complaint,Angry,Singapore,Home & Office Internet,ZENDOffice Net 200,Individual,Standard,65.47,1
How do I claim a refund if I used less than 10% of ZENDOffice Net 1G?,Refund,Neutral,Singapore,Home & Office Internet,ZENDOffice Net 1G,Individual,Enterprise,114.44,3
Frustrated with ZENDBiz Connect 500 connection.,Complaint,Neutral,Thailand,Business Connectivity,ZENDBiz Connect 500,Enterprise,Priority,384.79,3
Need help fixing my ZENDStorage 10TB service.,Technical Support,Satisfied,India,Cloud & Data Center Services,ZENDStorage 10TB,Enterprise,Standard,51.95,4
Need help fixing my ZENDSmart Traffic service.,Technical Support,Angry,Thailand,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Standard,164.41,1
Please terminate my ZENDSmart Traffic plan.,Cancellation,Happy,Singapore,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Priority,144.79,5
Can you send me my last 2 invoices for ZENDBiz Connect 500?,Billing,Satisfied,Thailand,Business Connectivity,ZENDBiz Connect 500,Enterprise,Standard,83.09,4
Please terminate my ZENDOffice Net 500 plan.,Cancellation,Satisfied,Singapore,Home & Office Internet,ZENDOffice Net 500,Individual,Priority,104.13,4
I want to cancel my ZENDCloud VM Enterprise subscription.,Cancellation,Satisfied,Thailand,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Enterprise,132.43,4
My billing amount for ZENDFiber Home 100 Mbps seems incorrect.,Billing,Happy,USA,Home & Office Internet,ZENDFiber Home 100 Mbps,Enterprise,Enterprise,190.2,5
Requesting refund for Postpaid Platinum Unlimited.,Refund,Satisfied,Thailand,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Standard,144.84,4
How do I claim a refund if I used less than 10% of ZENDCloud VM Enterprise?,Refund,Neutral,India,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Priority,211.39,3
How do I claim a refund if I used less than 10% of ZENDCloud VM Enterprise?,Refund,Angry,Thailand,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Priority,29.33,1
I want to cancel my ZENDCloud VM Enterprise subscription.,Cancellation,Satisfied,USA,Cloud & Data Center Services,ZENDCloud VM Enterprise,Individual,Priority,10.99,4
Frustrated with ZENDFleet IoT connection.,Complaint,Happy,USA,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Priority,341.26,5
My billing amount for ZENDOffice Net 500 seems incorrect.,Billing,Angry,Singapore,Home & Office Internet,ZENDOffice Net 500,Individual,Enterprise,27.53,1
I want to cancel my ZENDFiber Home 100 Mbps subscription.,Cancellation,Happy,Singapore,Home & Office Internet,ZENDFiber Home 100 Mbps,Individual,Standard,94.74,5
I was charged $X instead of $Y for ZENDOffice Net 200.,Billing,Happy,Singapore,Home & Office Internet,ZENDOffice Net 200,Individual,Enterprise,59.73,5
What are the costs to move from ZENDFleet IoT to premium?,Plan Upgrade,Angry,Singapore,IoT & Smart Solutions,ZENDFleet IoT,Individual,Enterprise,356.36,1
How do I claim a refund if I used less than 10% of ZENDSmart Lighting?,Refund,Neutral,Thailand,IoT & Smart Solutions,ZENDSmart Lighting,Individual,Enterprise,226.57,3
What are the costs to move from ZENDCloud VM Basic to premium?,Plan Upgrade,Neutral,USA,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Priority,284.35,3
Need help fixing my ZENDArchive Storage service.,Technical Support,Angry,USA,Cloud & Data Center Services,ZENDArchive Storage,Individual,Standard,93.53,1
Need details about ZENDCloud VM Enterprise.,Information Query,Satisfied,Singapore,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Priority,219.96,4
Need help fixing my Postpaid Platinum Unlimited service.,Technical Support,Happy,Singapore,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Enterprise,89.02,5
I want to upgrade my ZENDFiber Home 100 Mbps plan.,Plan Upgrade,Neutral,USA,Home & Office Internet,ZENDFiber Home 100 Mbps,Enterprise,Standard,84.9,3
My billing amount for Postpaid Silver 50GB seems incorrect.,Billing,Angry,Thailand,Mobile Connectivity,Postpaid Silver 50GB,Enterprise,Enterprise,134.98,1
What are the costs to move from ZENDFiber Home 100 Mbps to premium?,Plan Upgrade,Happy,India,Home & Office Internet,ZENDFiber Home 100 Mbps,Individual,Enterprise,88.17,5
I am not happy with my ZENDBiz Connect 500 service.,Complaint,Satisfied,USA,Business Connectivity,ZENDBiz Connect 500,Enterprise,Priority,75.7,4
I want to cancel my ZENDBiz Connect 100 subscription.,Cancellation,Angry,Singapore,Business Connectivity,ZENDBiz Connect 100,Individual,Priority,397.58,1
What are the costs to move from ZENDStorage 10TB to premium?,Plan Upgrade,Happy,USA,Cloud & Data Center Services,ZENDStorage 10TB,Enterprise,Enterprise,163.47,5
How do I stop ZENDFiber Home 1 Gbps service?,Cancellation,Satisfied,Thailand,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Priority,79.43,4
My billing amount for ZENDEnterprise Ultra seems incorrect.,Billing,Angry,India,Business Connectivity,ZENDEnterprise Ultra,Individual,Priority,133.35,1
Need help fixing my ZENDEnterprise Ultra service.,Technical Support,Satisfied,Thailand,Business Connectivity,ZENDEnterprise Ultra,Individual,Priority,236.1,4
How do I claim a refund if I used less than 10% of ZENDEnterprise Dedicated?,Refund,Neutral,Singapore,Business Connectivity,ZENDEnterprise Dedicated,Individual,Enterprise,65.33,3
I want a refund for ZENDCloud VM Pro subscription.,Refund,Happy,Thailand,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Enterprise,72.27,5
Frustrated with ZENDBiz Connect 1G connection.,Complaint,Happy,Singapore,Business Connectivity,ZENDBiz Connect 1G,Individual,Priority,249.61,5
I was charged $X instead of $Y for ZENDFiber Home 300 Mbps.,Billing,Happy,USA,Home & Office Internet,ZENDFiber Home 300 Mbps,Individual,Enterprise,185.11,5
Need details about ZENDBiz Connect 1G.,Information Query,Angry,Singapore,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Standard,157.13,1
How much does ZENDEnterprise Ultra cost in my country?,Information Query,Neutral,USA,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Priority,321.37,3
What are the costs to move from ZENDBiz Connect 1G to premium?,Plan Upgrade,Angry,Thailand,Business Connectivity,ZENDBiz Connect 1G,Individual,Enterprise,490.82,1
How much does ZENDIndustrial Sensor cost in my country?,Information Query,Neutral,Thailand,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Standard,247.57,3
I want to cancel my ZENDFiber Home 100 Mbps subscription.,Cancellation,Neutral,Singapore,Home & Office Internet,ZENDFiber Home 100 Mbps,Individual,Enterprise,167.0,3
I want to cancel my ZENDOffice Net 500 subscription.,Cancellation,Neutral,Singapore,Home & Office Internet,ZENDOffice Net 500,Individual,Standard,165.62,3
My ZENDCloud VM Pro is not working properly.,Technical Support,Satisfied,Thailand,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Enterprise,190.82,4
I am not happy with my ZENDSmart Traffic service.,Complaint,Satisfied,India,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Priority,65.0,4
My ZENDIndustrial Sensor is not working properly.,Technical Support,Neutral,India,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Enterprise,65.18,3
How do I claim a refund if I used less than 10% of ZENDBiz Connect 100?,Refund,Satisfied,India,Business Connectivity,ZENDBiz Connect 100,Individual,Standard,306.87,4
I am facing issues with ZENDOffice Net 200.,Technical Support,Happy,Thailand,Home & Office Internet,ZENDOffice Net 200,Enterprise,Standard,125.35,5
How do I stop ZENDFiber Home 1 Gbps service?,Cancellation,Happy,India,Home & Office Internet,ZENDFiber Home 1 Gbps,Enterprise,Standard,145.83,5
Need details about ZENDSmart Parking.,Information Query,Angry,Thailand,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Enterprise,202.63,1
Need details about ZENDIndustrial Sensor.,Information Query,Happy,Singapore,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Standard,328.68,5
Can you send me my last 2 invoices for Prepaid Unlimited?,Billing,Neutral,Singapore,Mobile Connectivity,Prepaid Unlimited,Individual,Priority,100.09,3
I am not happy with my ZENDFleet IoT service.,Complaint,Satisfied,USA,IoT & Smart Solutions,ZENDFleet IoT,Individual,Enterprise,286.93,4
I am facing issues with Prepaid Unlimited.,Technical Support,Neutral,Thailand,Mobile Connectivity,Prepaid Unlimited,Enterprise,Priority,114.55,3
How much does ZENDFleet IoT cost in my country?,Information Query,Neutral,India,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Priority,303.66,3
My ZENDCloud VM Basic is not working properly.,Technical Support,Satisfied,USA,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Priority,141.37,4
My ZENDCloud VM Basic is not working properly.,Technical Support,Angry,Thailand,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Priority,143.91,1
Need help fixing my ZENDFiber Home 1 Gbps service.,Technical Support,Neutral,USA,Home & Office Internet,ZENDFiber Home 1 Gbps,Enterprise,Standard,146.12,3
Need details about ZENDStorage 10TB.,Information Query,Angry,Thailand,Cloud & Data Center Services,ZENDStorage 10TB,Enterprise,Standard,194.09,1
Can you send me my last 2 invoices for ZENDOffice Net 500?,Billing,Satisfied,USA,Home & Office Internet,ZENDOffice Net 500,Individual,Enterprise,137.92,4
Complaint regarding ZENDCloud VM Pro.,Complaint,Angry,Thailand,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Standard,223.07,1
How do I claim a refund if I used less than 10% of ZENDStorage 1TB?,Refund,Satisfied,Thailand,Cloud & Data Center Services,ZENDStorage 1TB,Enterprise,Enterprise,78.2,4
How do I claim a refund if I used less than 10% of ZENDOffice Net 1G?,Refund,Satisfied,Thailand,Home & Office Internet,ZENDOffice Net 1G,Individual,Enterprise,99.58,4
My billing amount for ZENDEnterprise Ultra seems incorrect.,Billing,Angry,Singapore,Business Connectivity,ZENDEnterprise Ultra,Individual,Enterprise,433.22,1
Can you send me my last 2 invoices for ZENDFiber Home 100 Mbps?,Billing,Angry,Thailand,Home & Office Internet,ZENDFiber Home 100 Mbps,Individual,Standard,165.91,1
I want a refund for ZENDEnterprise Ultra subscription.,Refund,Satisfied,India,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Standard,79.24,4
I want to upgrade my ZENDOffice Net 1G plan.,Plan Upgrade,Happy,Singapore,Home & Office Internet,ZENDOffice Net 1G,Individual,Standard,149.72,5
Need help fixing my ZENDFleet IoT service.,Technical Support,Angry,USA,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Standard,379.86,1
Can I upgrade from ZENDOffice Net 200 to a higher plan?,Plan Upgrade,Happy,India,Home & Office Internet,ZENDOffice Net 200,Enterprise,Priority,80.84,5
I want a refund for ZENDBiz Connect 1G subscription.,Refund,Satisfied,Thailand,Business Connectivity,ZENDBiz Connect 1G,Individual,Priority,236.04,4
What features does ZENDIndustrial Sensor offer?,Information Query,Satisfied,USA,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Priority,281.53,4
I was charged $X instead of $Y for ZENDFleet IoT.,Billing,Angry,India,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Priority,56.22,1
Can you send me my last 2 invoices for ZENDOffice Net 1G?,Billing,Satisfied,Singapore,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Standard,132.53,4
What are the costs to move from ZENDEnterprise Dedicated to premium?,Plan Upgrade,Satisfied,India,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Priority,371.61,4
I am not happy with my ZENDBiz Connect 500 service.,Complaint,Neutral,USA,Business Connectivity,ZENDBiz Connect 500,Individual,Standard,373.1,3
I want to upgrade my ZENDOffice Net 1G plan.,Plan Upgrade,Angry,India,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Standard,29.9,1
I was charged $X instead of $Y for ZENDStorage 10TB.,Billing,Satisfied,Singapore,Cloud & Data Center Services,ZENDStorage 10TB,Individual,Enterprise,278.82,4
Can I upgrade from Postpaid Silver 50GB to a higher plan?,Plan Upgrade,Angry,India,Mobile Connectivity,Postpaid Silver 50GB,Enterprise,Enterprise,133.04,1
Need details about ZENDFleet IoT.,Information Query,Angry,USA,IoT & Smart Solutions,ZENDFleet IoT,Individual,Standard,345.33,1
My ZENDSmart Traffic is not working properly.,Technical Support,Satisfied,Thailand,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Standard,244.54,4
I want a refund for ZENDSmart Lighting subscription.,Refund,Neutral,India,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Enterprise,388.92,3
How much does ZENDCloud VM Pro cost in my country?,Information Query,Neutral,India,Cloud & Data Center Services,ZENDCloud VM Pro,Individual,Priority,89.58,3
I am not happy with my ZENDFiber Home 100 Mbps service.,Complaint,Neutral,USA,Home & Office Internet,ZENDFiber Home 100 Mbps,Individual,Standard,96.1,3
I am not happy with my ZENDEnterprise Ultra service.,Complaint,Angry,Thailand,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Priority,385.13,1
Need details about ZENDOffice Net 200.,Information Query,Neutral,USA,Home & Office Internet,ZENDOffice Net 200,Enterprise,Standard,191.36,3
How much does ZENDCloud VM Enterprise cost in my country?,Information Query,Happy,Thailand,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Enterprise,45.8,5
Please terminate my ZENDIndustrial Sensor plan.,Cancellation,Happy,Thailand,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Priority,289.28,5
I am facing issues with ZENDBiz Connect 1G.,Technical Support,Neutral,India,Business Connectivity,ZENDBiz Connect 1G,Individual,Priority,339.82,3
My billing amount for Prepaid Unlimited seems incorrect.,Billing,Happy,India,Mobile Connectivity,Prepaid Unlimited,Individual,Priority,141.77,5
